symbol,Name,Sector,Industry
GRPN,"Groupon, Inc.",Technology,Advertising
AGQ,Silver Double Bull,ETF,Silver
ORCL,Oracle Corporation,Technology,Computer Software
WLTGQ,Walter Energy,Energy,Coal
T,AT&T Inc.,Public Utilities,Telecommunications Equipment
BGCP,"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service
TWTR,"Twitter, Inc.",Technology,Computer Software
DSW,DSW Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
AXLL,Axiall Corporation,Basic Materials,Synthetics
MAT,"Mattel, Inc.",Consumer Non-Durables,Recreational Products/Toys
DWX,SPDR S&P International Dividend ETF,ETF,Dividend
WMT,"Wal-Mart Stores, Inc.",Consumer Services,Department/Specialty Retail Stores
LVS,Las Vegas Sands Corp.,Consumer Services,Hotels/Resorts
VLO,Valero Energy Corporation,Energy,Integrated oil Companies
CVX,Chevron Corporation,Energy,Integrated oil Companies
EPD,Enterprise Product Partners,Basic Materials,Oil
BBBY,Bed Bath & Beyond Inc.,Consumer Services,Home Furnishings
PFE,"Pfizer, Inc.",Health Care,Major Pharmaceuticals
USO,Oil,ETF,Oil
HES,Hess Corporation,Energy,Integrated oil Companies
JPM,J P Morgan Chase & Co,Finance,Major Banks
TIVO,TIVO,Consumer Services,Software
NGL,NGL Energy Partners,Basic Materials,Oil & Gas
VIAB,Viacom Inc.,Consumer Services,Television Services
BAC,Bank of America Corporation,Finance,Major Banks
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services
ESV,ENSCO plc,Energy,Oil & Gas Production
NBGGY,National Bank of Greece SA,Finance,Commercial Banks
SLV,Silver,ETF,Silver
V,Visa Inc.,Finance,Business Services
FINL,"The Finish Line, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores
FHN,First Horizon National Corporation,Finance,Major Banks
FII,"Federated Investors, Inc.",Finance,Investment Managers
FIS,"Fidelity National Information Services, Inc.",Miscellaneous,Business Services
FISV,"Fiserv, Inc.",Technology,EDP Services
FITB,Fifth Third Bancorp,Finance,Major Banks
FFIV,"F5 Networks, Inc.",Technology,Computer Communications Equipment
FFG,"FBL Financial Group, Inc.",Finance,Life Insurance
FEIC,FEI Company,Capital Goods,Biotechnology: Laboratory Analytical Instruments
FDX,FedEx Corporation,Transportation,Air Freight/Delivery Services
FCX,"Freeport-McMoran, Inc.",Basic Industries,Precious Metals
FCS,"Fairchild Semiconductor International, Inc.",Technology,Semiconductors
FCG,#N/A,ETF,ETF
FCFS,"First Cash Financial Services, Inc.",Consumer Services,Other Specialty Stores
FB,"Facebook, Inc.",Technology,Computer Software
FAZ,#N/A,ETF,ETF
FAST,Fastenal Company,Consumer Services,RETAIL: Building Materials
FAS,#N/A,ETF,ETF
F,Ford Motor Company,Capital Goods,Auto Manufacturing
EZU,#N/A,ETF,ETF
EXXI,Energy XXI Ltd.,Energy,Oil & Gas Production
FE,FirstEnergy Corporation,Public Utilities,Electric Utilities: Central
GFF,Griffon Corporation,Capital Goods,Building Products
FMC,FMC Corporation,Basic Industries,Major Chemicals
GCI,TEGNA Inc.,Consumer Services,Newspapers/Magazines
GCO,Genesco Inc.,Consumer Services,Clothing/Shoe/Accessory Stores
GD,General Dynamics Corporation,Capital Goods,Marine Transportation
GDX,Gold vector,ETF,Gold
GDXJ,Gold Miners Junior,ETF,Gold
GE,General Electric Company,Energy,Consumer Electronics/Appliances
GASL,#N/A,ETF,ETF
GES,"Guess?, Inc.",Consumer Non-Durables,Apparel
GAIA,"Gaiam, Inc.",Consumer Services,Movies/Entertainment
GG,Goldcorp Inc.,Basic Industries,Precious Metals
GHL,"Greenhill & Co., Inc.",Finance,Investment Bankers/Brokers/Service
GHM,Graham Corporation,Technology,Industrial Machinery/Components
GIII,"G-III Apparel Group, LTD.",Consumer Non-Durables,Apparel
GILD,"Gilead Sciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GIS,"General Mills, Inc.",Consumer Non-Durables,Packaged Foods
GLD,#N/A,ETF,ETF
GLDD,Great Lakes Dredge & Dock Corporation,Basic Industries,Military/Government/Technical
GEF,Greif Bros. Corporation,Capital Goods,n/a
FSLR,"First Solar, Inc.",Technology,Semiconductors
